# Adami+18 (https://ui.adsabs.harvard.edu/abs/2018A%26A...620A...5A/abstract)
# http://cosmosdb.iasf-milano.inaf.it/XXL/
#
# XXL Database
# File    : .txt.gz
# Date    : 2020-11-03 18:58
# Table   : XXL_365_GC
# Columns : 28
# Rows    : 365
# SQL     : SELECT XXL_365_GC.identifier, XXL_365_GC.xlssc, XXL_365_GC.
#           ra, XXL_365_GC.decl, XXL_365_GC.z, XXL_365_GC.ngal, XXL_365
#           _GC.class, XXL_365_GC.Mgas500kpc, XXL_365_GC.Mgas500kpc_m, 
#           XXL_365_GC.Mgas500kpc_p, XXL_365_GC.r500mt, XXL_365_GC.T300
#           kpc, XXL_365_GC.T300kpc_m, XXL_365_GC.T300kpc_p, XXL_365_GC
#           .LXXL500MT, XXL_365_GC.LXXL500MT_err, XXL_365_GC.f60, XXL_3
#           65_GC.f60_err, XXL_365_GC.flag, XXL_365_GC.tab, XXL_365_GC.
#           T300kpcscal , XXL_365_GC.T300kpcscal_err, XXL_365_GC.r500sc
#           al, XXL_365_GC.r500scal_err, XXL_365_GC.M500scal, XXL_365_G
#           C.M500scal_err, XXL_365_GC.Lbol500scal, XXL_365_GC.Lbol500s
#           cal_err FROM XXL_365_GC
# identifier	xlssc	ra	decl	z	ngal	class	Mgas500kpc	Mgas500kpc_m	Mgas500kpc_p	r500mt	T300kpc	T300kpc_m	T300kpc_p	LXXL500MT	LXXL500MT_err	f60	f60_err	flag	tab	T300kpcscal	T300kpcscal_err	r500scal	r500scal_err	M500scal	M500scal_err	Lbol500scal	Lbol500scal_err
# VARCHAR	INTEGER	DOUBLE	DOUBLE	FLOAT	INTEGER	INTEGER	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	DOUBLE	DOUBLE	FLOAT	FLOAT	CHAR	CHAR	FLOAT	FLOAT	FLOAT	FLOAT	DOUBLE	DOUBLE	DOUBLE	DOUBLE
# --	--	deg	deg		--	--	1E11 solar mass	1E11 solar mass	1E11 solar mass	kpc	keV	keV	keV	1E42 erg/s	1E42 erg/s	1E-15 erg/cm2/s	1E-15 erg/cm2/s	--	--	keV	keV	kpc	kpc	1E13 solar mass	1E13 solar mass	1E42 erg/s	1E42 erg/s
XLSSC 028	028	35.984	-3.098	0.297	14	1	 10.35	 -4.04	  4.37	558	1.53	-0.17	0.27	  4.59	  0.65	13	3	+,l	5	1.48	0.17	545.	 52.	  6.08	  1.76	 12.00	  2.63
XLSSC 049	049	35.988	-4.588	0.494	6	1	 51.40	 -2.75	  2.69	602	2.13	-0.14	0.12	 10.17	  0.54	13	2	+,l	5	1.85	0.22	554.	 55.	  7.94	  2.39	 26.00	  4.64
XLSSC 032	032	36.002	-3.424	0.803	4	2	 75.48	 -8.67	  7.68	901	2.16	-0.42	0.49	 46.55	  9.99	14	4	l	5	2.84	0.50	591.	 76.	 13.80	  5.34	110.00	 29.20
XLSSC 186	186	36.003	-5.864	0.515	6	2	 -1.00	 -1.00	 -1.00	671	1.04	-0.06	0.08	  8.52	  0.58	6	3		5	1.50	0.25	487.	 57.	  5.52	  1.93	 15.00	  5.10
XLSSC 018	018	36.008	-5.091	0.324	9	1	 18.65	 -1.78	  1.73	580	1.68	-0.16	0.24	  4.71	  0.64	12	2	+	5	1.53	0.15	548.	 49.	  6.38	  1.72	 14.00	  1.71
XLSSC 029	029	36.017	-4.225	1.050	6	1	125.65	 -2.37	  2.72	545	3.17	-0.48	0.64	191.60	 20.55	32	3	+,l	5	4.64	0.87	675.	 96.	 27.30	 11.70	480.00	 45.20
XLSSC 128	128	36.048	-3.129	0.481	1	2	 -1.00	 -1.00	 -1.00	776	1.32	-0.19	0.21	 12.77	  2.13	9	4	F	5	2.03	0.24	588.	 60.	  9.37	  2.86	 33.00	  6.41
XLSSC 062	062	36.061	-2.721	0.059	4	1	  9.88	 -0.96	  1.03	429	0.77	-0.08	0.12	  1.09	  0.14	50	7	+,l	5	1.09	0.11	516.	 47.	  4.08	  1.11	  4.70	  0.80
XLSSC 044	044	36.141	-4.236	0.263	19	1	 31.62	 -1.07	  0.87	499	1.21	-0.14	0.11	  3.50	  0.47	14	2	+,*,l	5	1.46	0.13	552.	 48.	  6.10	  1.60	 12.00	  1.32
XLSSC 182	182	36.227	-3.478	0.174	1	2	 -1.00	 -1.00	 -1.00	730	0.97	-0.15	0.13	  1.25	  0.20	11	4		5	0.95	0.14	453.	 49.	  3.08	  1.00	  3.50	  1.10
XLSSC 021	021	36.233	-5.134	0.085	11	1	  5.77	 -0.52	  0.63	430	0.79	-0.06	0.06	  0.73	  0.08	22	2	+,l	5	0.91	0.09	460.	 41.	  2.96	  0.79	  2.90	  0.33
XLSSC 001	001	36.238	-3.817	0.614	17	1	125.05	 -3.72	  4.95	763	3.69	-0.25	0.21	 94.98	  5.65	64	4	+,l	5	4.18	0.50	819.	 94.	 29.60	 10.10	250.00	 20.50
XLSSC 140	140	36.303	-5.524	0.294	2	2	 17.51	 -4.23	  2.73	872	1.44	-0.17	0.21	  6.41	  0.99	10	2		5	1.23	0.18	491.	 53.	  4.44	  1.43	  7.50	  2.30
XLSSC 054	054	36.319	-5.887	0.054	29	1	 23.60	 -0.94	  0.73	632	1.54	-0.08	0.09	  3.32	  0.22	78	7	+,l	5	1.24	0.10	557.	 47.	  5.10	  1.29	  6.50	  0.56
XLSSC 008	008	36.336	-3.801	0.299	13	1	 21.92	 -4.19	  3.57	564	1.56	-0.10	0.12	  1.69	  0.11	14	3	+,l	5	1.65	0.17	579.	 53.	  7.34	  2.03	 17.00	  2.78
XLSSC 025	025	36.353	-4.680	0.265	13	1	 49.79	 -1.21	  1.26	700	2.23	-0.18	0.24	 21.77	  1.78	66	3	+,l	5	2.91	0.21	812.	 75.	 19.50	  5.40	 73.00	  3.62
XLSSC 181	181	36.376	-3.817	0.371	2	2	 -1.00	 -1.00	 -1.00	726	1.09	-0.08	0.08	  0.43	  0.03	4	6		5	1.18	0.22	461.	 58.	  3.99	  1.51	  7.20	  3.06
XLSSC 041	041	36.378	-4.239	0.142	16	1	 41.04	 -1.04	  0.98	636	1.68	-0.08	0.22	 11.72	  1.02	125	7	+,*,l	5	2.39	0.16	773.	 67.	 14.80	  3.87	 40.00	  2.22
XLSSC 002	002	36.384	-3.920	0.771	9	1	 75.10	 -6.48	  6.04	560	2.50	-0.19	0.18	 69.11	  4.37	25	3	+,l	5	3.65	0.53	692.	 84.	 21.40	  7.77	200.00	 24.60
XLSSC 185	185	36.387	-5.539	0.566	3	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	7	3		5	1.97	0.32	551.	 65.	  8.52	  3.00	 33.00	 10.30
XLSSC 050	050	36.421	-3.189	0.140	16	1	 77.78	 -1.77	  1.71	891	3.07	-0.25	0.26	 27.24	  1.32	98	4	+,l	5	3.09	0.19	895.	 82.	 23.00	  6.31	 78.00	  2.30
XLSSC 055	055	36.454	-5.896	0.232	14	1	 60.85	 -1.49	  1.43	863	3.15	-0.51	0.32	 26.62	  1.82	78	5	+,l	5	2.85	0.20	817.	 75.	 19.10	  5.28	 67.00	  4.44
XLSSC 123	123	36.487	-5.643	0.194	8	1	 24.30	 -3.07	  2.51	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	17	4	l	5	1.59	0.16	599.	 54.	  7.26	  1.97	 14.00	  2.40
XLSSC 051	051	36.498	-2.825	0.279	8	1	  9.94	 -2.31	  2.68	523	1.34	-0.09	0.09	  4.57	  0.28	14	2	+,l	5	1.50	0.14	554.	 49.	  6.27	  1.68	 13.00	  1.73
XLSSC 011	011	36.540	-4.969	0.054	41	1	 12.69	 -1.64	  1.19	639	1.57	-0.11	0.29	  1.27	  0.12	32	3	+,l	5	0.80	0.09	435.	 40.	  2.44	  0.67	  2.10	  0.26
XLSSC 052	052	36.567	-2.666	0.056	3	1	  3.99	 -0.74	  0.83	385	0.63	-0.03	0.04	  1.32	  0.10	90	5	+,l	5	1.01	0.09	495.	 43.	  3.59	  0.93	  3.80	  0.36
XLSSC 191	191	36.574	-5.078	0.054	31	1	 15.92	 -0.62	  0.56	481	0.94	-0.06	0.05	  1.12	  0.10	39	4	l	5	1.04	0.10	503.	 44.	  3.78	  0.99	  4.10	  0.47
XLSSC 020	020	36.635	-5.001	0.494	4	2	 -1.00	 -1.00	 -1.00	874	1.65	-0.23	0.30	 19.24	  3.18	10	4	+	5	2.29	0.27	625.	 64.	 11.50	  3.52	 47.00	  8.22
XLSSC 009	009	36.685	-3.684	0.328	9	2	 47.72	 -3.44	  3.14	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	17	4	+,l	5	1.83	0.20	605.	 59.	  8.62	  2.51	 23.00	  4.60
XLSSC 190	190	36.748	-4.589	0.070	11	1	 12.81	 -1.25	  0.94	512	1.07	-0.07	0.07	  1.07	  0.06	25	3	l	5	1.02	0.10	495.	 43.	  3.63	  0.95	  3.90	  0.44
XLSSC 005	005	36.788	-4.301	1.058	4	1	 68.57	 -6.84	  6.72	429	2.08	-0.29	0.32	 51.79	  7.47	9	2	+	5	2.73	0.53	499.	 68.	 11.20	  4.56	120.00	 19.30
XLSSC 010	010	36.843	-3.362	0.330	6	1	 52.22	 -0.99	  0.95	698	2.36	-0.24	0.35	 24.90	  2.74	46	4	+,l	5	2.84	0.23	773.	 73.	 18.00	  5.11	 72.00	  6.02
XLSSC 127	127	36.850	-3.566	0.315	1	2	 -1.00	 -1.00	 -1.00	671	0.91	-0.15	0.14	  3.24	  0.52	5	3	F	5	1.16	0.19	472.	 54.	  4.03	  1.39	  6.70	  2.40
XLSSC 038	038	36.856	-4.190	0.584	4	2	 -1.00	 -1.00	 -1.00	850	1.67	-0.28	0.30	  3.74	  0.63	2	2	+	5	1.16	0.22	404.	 51.	  3.42	  1.30	  8.10	  3.09
XLSSC 013	013	36.858	-4.538	0.308	21	1	 29.53	 -4.20	  3.47	507	1.30	-0.11	0.22	  6.99	  0.95	16	2	+,l	5	1.96	0.17	635.	 57.	  9.74	  2.60	 26.00	  2.58
XLSSC 103	103	36.886	-5.961	0.233	8	1	 54.60	 -2.71	  2.45	764	2.53	-0.34	0.40	 11.02	  1.28	43	5	+,l	5	2.24	0.18	711.	 64.	 12.70	  3.39	 35.00	  3.69
XLSSC 003	003	36.909	-3.300	0.836	6	1	105.46	 -2.18	  2.34	649	3.48	-0.25	0.24	124.78	  8.03	34	4	+,l	5	4.44	0.69	745.	 96.	 28.80	 11.20	360.00	 43.90
XLSSC 022	022	36.917	-4.858	0.293	18	1	 51.27	 -1.51	  1.46	646	1.98	-0.12	0.13	 29.68	  1.72	74	3	+,l	5	3.14	0.23	835.	 79.	 21.80	  6.19	 91.00	  3.54
XLSSC 027	027	37.012	-4.851	0.295	10	1	 54.49	 -1.67	  1.68	770	2.72	-0.40	0.41	 15.51	  1.41	37	3	+,l	5	2.36	0.19	710.	 64.	 13.40	  3.64	 43.00	  3.35
XLSSC 121	121	37.015	-5.297	0.317	6	2	 24.32	 -5.37	  3.64	1090	2.18	-0.33	0.34	  6.26	  0.96	9	3		5	1.42	0.17	527.	 52.	  5.62	  1.66	 11.00	  2.59
XLSSC 090	090	37.121	-4.857	0.141	11	1	 14.49	 -2.37	  2.17	500	1.09	-0.07	0.12	  4.25	  0.46	45	4	+,l	5	1.70	0.13	639.	 54.	  8.37	  2.12	 16.00	  1.40
XLSSC 089	089	37.127	-4.733	0.609	7	1	 80.22	 -9.61	  8.34	560	2.11	-0.39	0.40	 46.18	  8.35	32	4	+,l	5	3.48	0.43	740.	 83.	 21.70	  7.31	150.00	 22.00
XLSSC 104	104	37.324	-5.895	0.294	6	1	 51.50	 -2.77	  2.62	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	46	4	+,l	5	2.50	0.20	735.	 67.	 14.90	  4.08	 50.00	  4.33
XLSSC 168	168	37.387	-5.880	0.295	9	1	 82.54	 -1.95	  2.04	677	2.16	-0.31	0.36	 19.16	  1.98	34	4	l	5	2.85	0.22	790.	 74.	 18.50	  5.18	 71.00	  5.16
XLSSC 145	145	37.388	-4.666	0.627	8	2	 51.27	 -6.67	  6.42	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	15	3	l	5	2.64	0.36	628.	 70.	 13.50	  4.50	 76.00	 14.40
XLSSC 146	146	37.462	-4.150	0.254	7	1	 12.12	 -4.23	  3.56	633	1.84	-0.28	0.26	  3.12	  0.46	10	2		5	1.37	0.14	534.	 49.	  5.48	  1.51	  9.90	  1.69
XLSSC 169	169	37.538	-5.679	0.498	6	1	 75.24	 -3.56	  3.43	933	4.70	-1.05	0.98	 44.25	  7.12	29	5	l	5	2.95	0.33	719.	 75.	 17.50	  5.50	 91.00	 14.10
XLSSC 088	088	37.611	-4.581	0.295	7	1	 57.47	 -2.48	  2.34	632	1.91	-0.24	0.27	 13.21	  1.91	35	4	+,l	5	2.45	0.20	725.	 66.	 14.30	  3.93	 47.00	  4.27
XLSSC 149	149	37.634	-4.989	0.292	9	2	 39.72	 -4.20	  3.68	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	22	3	*,l	5	2.04	0.18	655.	 60.	 10.50	  2.88	 29.00	  3.92
XLSSC 147	147	37.641	-4.625	0.031	4	2	  0.15	 -0.05	  0.35	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	22	4	l,F	5	0.53	0.10	350.	 44.	  1.24	  0.47	  0.69	  0.26
XLSSC 150	150	37.661	-4.992	0.292	9	1	 46.53	 -3.59	  3.03	653	2.02	-0.29	0.40	 12.35	  1.80	28	4	*,l	5	2.17	0.19	678.	 62.	 11.70	  3.18	 34.00	  4.09
XLSSC 148	148	37.719	-4.859	0.294	3	2	  4.61	 -3.70	  5.60	784	1.19	-0.08	0.06	  6.02	  0.39	23	6	l	5	1.79	0.23	608.	 63.	  8.44	  2.62	 21.00	  5.64
XLSSC 087	087	37.720	-4.348	0.141	5	1	 33.55	 -2.03	  1.73	622	1.61	-0.11	0.12	 12.69	  1.10	122	6	+,l	5	2.36	0.15	767.	 66.	 14.50	  3.77	 38.00	  1.96
XLSSC 091	091	37.926	-4.881	0.186	41	1	148.27	 -0.87	  0.92	1162	5.15	-0.31	0.31	131.43	  3.89	386	8	+,l	5	5.56	0.40	1217.	133.	 60.40	 19.80	380.00	  6.40
XLSSC 170	170	37.998	-5.737	0.403	3	2	 32.97	 -5.73	  5.28	931	1.74	-0.22	0.30	 15.96	  2.67	19	3	l	5	2.21	0.22	645.	 62.	 11.40	  3.26	 39.00	  5.47
XLSSC 152	152	38.082	-4.817	0.205	7	2	  3.59	 -1.34	  1.98	652	0.81	-0.15	0.16	  1.89	  0.32	10	3		5	1.06	0.16	473.	 51.	  3.62	  1.17	  4.80	  1.49
XLSSC 151	151	38.122	-4.788	0.189	6	1	 13.83	 -2.84	  2.79	658	1.86	-0.30	0.27	  6.62	  0.76	28	3	*,l	5	1.73	0.14	629.	 54.	  8.38	  2.15	 17.00	  1.66
XLSSC 105	105	38.411	-5.506	0.432	7	1	130.07	 -2.85	  2.95	1110	6.01	-0.91	0.79	142.20	 13.55	129	7	+,l	5	4.67	0.45	967.	106.	 39.50	 13.00	290.00	 22.40
XLSSC 153	153	38.490	-5.139	0.880	8	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	11	4		5	2.35	0.56	507.	 79.	  9.55	  4.44	 69.00	 32.50
XLSSC 154	154	38.502	-4.826	0.179	8	1	 14.97	 -5.24	  4.41	511	1.17	-0.08	0.06	  2.43	  0.14	22	4	l	5	1.41	0.15	563.	 53.	  5.96	  1.68	 10.00	  2.08
XLSSC 553	553	348.341	-53.741	0.046	3	1	  2.63	 -1.20	  1.34	421	0.74	-0.06	0.06	  0.32	  0.03	16	3	l	5	0.62	0.11	379.	 48.	  1.60	  0.60	  1.00	  0.42
XLSSC 502	502	348.442	-53.438	0.141	6	1	 27.37	 -1.59	  1.56	521	1.17	-0.08	0.06	  5.98	  0.56	65	4	+,l	5	2.00	0.14	699.	 59.	 11.00	  2.80	 25.00	  1.61
XLSSC 642	642	348.529	-54.802	0.316	1	2	 10.85	 -3.45	  4.59	686	0.95	-0.15	0.20	  0.99	  0.19	11	3		5	1.23	0.22	487.	 59.	  4.44	  1.62	  7.80	  3.17
XLSSC 554	554	348.719	-53.626	0.203	3	2	  3.22	 -1.55	  2.42	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	12	3	F	5	0.93	0.14	440.	 49.	  2.91	  0.97	  3.40	  1.11
XLSSC 530	530	348.833	-54.345	0.204	6	1	 40.04	 -2.05	  1.84	615	1.67	-0.14	0.26	  9.04	  0.95	45	4	+,l	5	2.28	0.16	730.	 64.	 13.30	  3.49	 37.00	  2.47
XLSSC 501	501	348.873	-53.063	0.333	7	1	 65.16	 -2.51	  2.33	814	3.12	-0.44	0.43	 29.90	  3.74	60	5	+,l	5	3.22	0.27	829.	 81.	 22.30	  6.56	100.00	 10.30
XLSSC 640	640	348.945	-54.962	0.684	3	2	 38.15	-11.95	  9.00	810	1.64	-0.29	0.29	 38.01	  6.37	9	3		5	2.57	0.36	598.	 67.	 12.40	  4.21	 74.00	 13.00
XLSSC 636	636	349.021	-55.594	0.201	1	1	 56.52	 -3.11	  2.58	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	100	14	l	5	1.78	0.15	635.	 56.	  8.74	  2.31	 19.00	  2.48
XLSSC 593	593	349.067	-54.249	0.335	3	1	 15.33	 -6.21	  5.25	717	2.49	-0.40	0.44	  9.27	  1.30	16	2	l	5	1.88	0.18	611.	 56.	  8.96	  2.47	 24.00	  3.32
XLSSC 615	615	349.091	-54.878	0.567	4	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	7	4		5	2.26	0.34	595.	 69.	 10.70	  3.71	 47.00	 13.50
XLSSC 616	616	349.122	-55.759	0.490	1	2	 54.42	 -8.36	  5.81	1791	5.97	-1.12	1.11	 50.65	  8.88	28	5	l	5	2.52	0.30	661.	 69.	 13.40	  4.23	 59.00	 11.60
XLSSC 594	594	349.155	-56.236	0.232	2	1	 10.22	 -4.28	  4.75	527	1.30	-0.12	0.18	  3.10	  0.44	18	3	l	5	1.31	0.15	527.	 50.	  5.16	  1.47	  8.60	  1.80
XLSSC 513	513	349.221	-54.902	0.378	5	1	109.31	 -2.37	  2.47	998	4.70	-0.75	0.57	 72.35	  6.44	112	7	+,l	5	4.28	0.37	948.	100.	 35.10	 11.10	220.00	 13.60
XLSSC 556	556	349.264	-53.004	0.489	6	1	 63.31	 -4.38	  4.24	789	3.45	-0.68	0.78	 29.06	  4.32	24	3	l	5	2.78	0.30	699.	 71.	 15.90	  4.86	 77.00	 10.00
XLSSC 525	525	349.339	-53.962	0.379	2	1	 96.41	 -3.49	  2.73	788	3.08	-0.35	0.35	 69.68	  4.90	105	4	+	5	4.51	0.39	977.	104.	 38.40	 12.30	260.00	 10.80
XLSSC 555	555	349.341	-52.916	0.360	2	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	7	7		5	0.87	0.34	391.	 90.	  2.41	  1.66	  3.20	  3.19
XLSSC 560	560	349.420	-52.739	0.790	2	2	 -1.00	 -1.00	 -1.00	828	1.84	-0.13	0.12	 27.86	  1.78	7	4	F	5	2.07	0.46	497.	 73.	  8.10	  3.58	 45.00	 20.80
XLSSC 557	557	349.453	-53.264	0.274	2	2	 16.17	 -5.75	  5.65	708	0.98	-0.15	0.17	  5.45	  0.91	18	4	l	5	1.68	0.19	593.	 58.	  7.67	  2.23	 17.00	  3.83
XLSSC 558	558	349.508	-52.785	0.455	4	2	 58.96	 -3.23	  3.15	897	1.68	-0.25	0.35	 21.09	  3.34	20	4	l	5	2.38	0.30	653.	 69.	 12.50	  3.96	 50.00	 11.30
XLSSC 527	527	349.570	-55.984	0.076	5	2	  4.78	 -1.70	  2.73	1295	2.57	-0.38	0.30	  5.20	  0.57	48	7	+,l	5	0.65	0.15	382.	 57.	  1.68	  0.75	  1.20	  0.65
XLSSC 592	592	349.594	-55.833	0.237	2	1	 25.66	 -2.49	  2.45	595	1.62	-0.19	0.30	  5.97	  0.85	28	3	l	5	1.92	0.15	652.	 57.	  9.79	  2.55	 24.00	  2.17
XLSSC 559	559	349.615	-52.831	0.456	2	2	 -1.00	 -1.00	 -1.00	976	1.96	-0.28	0.35	 12.42	  1.98	10	4		5	1.89	0.30	573.	 67.	  8.45	  2.98	 27.00	  9.38
XLSSC 528	528	349.682	-56.204	0.302	7	1	 53.20	 -1.65	  1.80	823	3.09	-0.49	0.50	 20.42	  2.15	43	3	+,l	5	2.54	0.20	737.	 67.	 15.20	  4.16	 52.00	  3.85
XLSSC 529	529	349.699	-56.287	0.547	8	1	 89.84	 -3.21	  3.24	760	3.42	-0.53	0.55	 65.76	  7.91	50	3	+,l	5	3.83	0.42	811.	 88.	 26.50	  8.67	190.00	 15.40
XLSSC 579	579	349.760	-55.389	0.076	4	2	  0.64	 -0.32	  0.76	679	0.81	-0.06	0.08	  0.54	  0.05	9	3		5	0.62	0.11	372.	 45.	  1.56	  0.57	  1.10	  0.38
XLSSC 526	526	349.802	-54.087	0.276	6	2	 93.82	 -1.51	  1.54	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	153	31	+,l	5	5.16	0.52	1114.	127.	 50.90	 17.50	340.00	 59.20
XLSSC 544	544	349.816	-53.534	0.096	19	1	 31.00	 -1.10	  1.07	746	2.15	-0.16	0.20	  8.55	  0.52	105	4	+,l	5	2.07	0.13	728.	 61.	 11.90	  3.00	 26.00	  0.99
XLSSC 518	518	349.822	-55.325	0.177	8	1	 23.30	 -2.23	  2.13	531	1.25	-0.08	0.06	  6.63	  0.61	63	4	+,l	5	2.06	0.14	700.	 60.	 11.40	  2.92	 27.00	  1.63
XLSSC 617	617	349.871	-56.283	0.303	4	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	8	3		5	1.33	0.18	513.	 53.	  5.11	  1.59	  9.50	  2.66
XLSSC 531	531	349.876	-56.649	0.390	10	1	 52.74	 -4.91	  4.55	832	3.43	-0.49	0.63	 25.57	  3.95	36	4	+,l	5	2.93	0.27	762.	 75.	 18.40	  5.44	 82.00	  9.49
XLSSC 587	587	349.935	-54.640	0.525	1	1	 29.62	 -6.26	  6.85	728	3.10	-0.43	0.43	 27.02	  3.29	18	2	l	5	2.78	0.30	685.	 70.	 15.60	  4.75	 79.00	  7.76
XLSSC 578	578	349.974	-55.287	0.358	1	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	1	4		5	0.86	0.29	390.	 78.	  2.38	  1.42	  3.10	  2.63
XLSSC 591	591	350.099	-53.085	0.275	3	2	 -1.00	 -1.00	 -1.00	509	0.54	-0.09	0.10	  1.38	  0.24	8	3		5	1.17	0.19	484.	 56.	  4.16	  1.45	  6.60	  2.43
XLSSC 534	534	350.105	-53.359	0.852	4	1	104.85	-12.50	 11.94	734	4.42	-0.81	0.74	177.61	 26.70	35	4	+,l	5	4.86	0.77	776.	103.	 33.10	 13.10	460.00	 53.10
XLSSC 575	575	350.433	-56.230	0.818	1	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	7	3		5	2.12	0.42	497.	 67.	  8.34	  3.36	 50.00	 17.20
XLSSC 517	517	350.449	-55.971	0.699	3	1	 87.05	 -7.80	  7.35	648	3.01	-0.51	0.64	 58.78	  9.02	41	5	+,l	5	3.81	0.53	740.	 88.	 24.10	  8.61	210.00	 31.70
XLSSC 523	523	350.503	-54.750	0.342	8	1	 68.74	 -3.69	  3.17	806	3.09	-0.45	0.52	 28.13	  3.28	50	5	+,l	5	3.00	0.25	791.	 76.	 19.60	  5.65	 84.00	  7.31
XLSSC 576	576	350.542	-56.312	0.702	1	2	 66.82	-20.09	 13.32	1735	6.53	-1.45	1.22	 84.99	 15.00	28	5	l,F	5	3.66	0.51	723.	 86.	 22.40	  7.98	190.00	 28.70
XLSSC 584	584	350.542	-55.419	0.348	3	1	 22.90	 -4.49	  4.29	696	2.39	-0.37	0.42	  6.03	  0.91	16	3	l	5	1.82	0.19	597.	 57.	  8.45	  2.40	 23.00	  3.94
XLSSC 503	503	350.646	-52.747	0.336	3	1	 58.94	 -3.66	  3.22	593	1.77	-0.22	0.25	 25.71	  3.02	49	5	+,l	5	3.14	0.26	816.	 79.	 21.30	  6.21	 95.00	  7.93
XLSSC 545	545	350.692	-53.388	0.353	7	2	 52.44	 -5.68	  5.78	955	1.76	-0.29	0.41	 17.51	  3.11	31	5	+,l	5	2.36	0.25	688.	 68.	 13.00	  3.84	 45.00	  8.32
XLSSC 598	598	350.711	-52.826	0.444	4	1	 46.49	 -5.11	  4.68	826	3.58	-0.51	0.60	 21.91	  3.28	23	4	l	5	2.36	0.27	654.	 67.	 12.40	  3.79	 48.00	  9.35
XLSSC 597	597	350.765	-52.725	0.152	4	2	  1.05	 -0.47	  0.98	546	0.57	-0.11	0.05	  0.63	  0.09	10	3	F	5	0.74	0.17	396.	 58.	  2.02	  0.88	  1.80	  0.95
XLSSC 580	580	351.016	-55.023	0.606	2	2	 29.90	-10.52	  8.69	1464	4.50	-1.02	0.90	 41.81	  7.68	11	3		5	2.48	0.34	612.	 67.	 12.20	  4.04	 63.00	 12.50
XLSSC 612	612	351.203	-55.400	0.275	8	2	 -1.00	 -1.00	 -1.00	938	1.62	-0.27	0.29	  1.99	  0.40	6	3		5	1.13	0.15	473.	 49.	  3.90	  1.21	  6.00	  1.63
XLSSC 577	577	351.386	-55.740	0.207	4	1	  3.50	 -1.37	  1.98	440	0.92	-0.12	0.12	  2.55	  0.40	12	3		5	1.19	0.14	505.	 49.	  4.41	  1.28	  6.50	  1.47
XLSSC 514	514	351.396	-54.722	0.169	12	1	 41.12	 -2.11	  1.52	563	1.38	-0.12	0.19	  4.78	  0.65	40	4	+,*,l	5	1.88	0.14	666.	 57.	  9.75	  2.49	 21.00	  1.65
XLSSC 515	515	351.416	-54.741	0.101	18	1	 28.64	 -0.92	  0.88	523	1.14	-0.10	0.08	  3.53	  0.37	58	4	+,*,l	5	1.65	0.12	640.	 53.	  8.08	  2.01	 14.00	  0.92
XLSSC 627	627	351.421	-53.193	0.171	3	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	8	3		5	1.00	0.15	465.	 51.	  3.33	  1.09	  4.00	  1.26
XLSSC 547	547	351.427	-53.277	0.371	6	1	 74.55	 -4.66	  4.09	881	3.72	-0.66	0.85	 40.79	  4.55	53	6	+,l	5	3.31	0.29	824.	 82.	 22.90	  6.85	110.00	 11.20
XLSSC 611	611	351.457	-55.381	0.609	2	2	 24.50	-24.37	 13.41	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	9	3		5	1.59	0.34	476.	 66.	  5.77	  2.41	 19.00	  9.02
XLSSC 535	535	351.554	-53.317	0.172	16	1	 54.68	 -2.02	  2.13	704	2.07	-0.20	0.19	 21.17	  1.78	116	6	+,l	5	3.04	0.20	873.	 80.	 22.00	  6.06	 76.00	  3.54
XLSSC 536	536	351.557	-53.374	0.169	10	1	 33.20	 -3.90	  3.32	645	1.76	-0.17	0.28	  4.79	  0.50	63	5	+,l	5	2.02	0.15	693.	 59.	 11.00	  2.82	 26.00	  1.95
XLSSC 522	522	351.638	-55.022	0.395	3	1	 50.16	 -3.01	  3.01	672	2.35	-0.24	0.31	 27.29	  2.91	36	2	+,l	5	2.89	0.25	754.	 72.	 17.90	  5.16	 79.00	  4.42
