id,name,category,description,trigger,action,reward,implementation_hints,required_components,metrics
cart-abandonment,Cart Abandonment,revenue,Sends personal outreach when users view pricing but don't purchase,User visits pricing without purchasing for 1 hour,System queues personal help email,Sales conversation recovers revenue,"Track pricing page visits|Detect no purchase|Queue personal emails|Track recovery",analytics|email_service|crm|sales_automation,recovered_revenue|conversion_rate|sales_assist_rate
card-expiry-pre-warn,Card Expiry Pre Warn,revenue,Shows persistent warning when payment card is approaching expiration,Payment card expiring soon detected,System displays sticky expiry warning,User updates card before payment fails,"Listen to payment processor webhooks|Show sticky warnings|Make update easy|Track prevention",payment_processor|webhook_system|banner_system|analytics,involuntary_churn_rate|payment_success_rate|churn_prevention
dunning-savior,Dunning Savior,revenue,Locks application when payment fails to ensure billing attention,Payment failure webhook received,System locks app with payment prompt,User immediately fixes billing issue,"Receive payment webhooks|Lock application access|Show clear resolution path|Track recovery",payment_processor|webhook_system|access_control|modal_system,payment_recovery_rate|failed_payment_resolution|revenue_retention
annual-plan-switch,Annual Plan Switch,revenue,Offers discount to switch to annual billing after several monthly payments,User completes 3rd monthly payment,System offers annual plan with discount,Company improves cash flow and LTV,"Track payment history|Identify loyal customers|Offer annual incentive|Track switches",payment_processor|billing_system|modal_system|analytics,cash_flow_lift|ltv_increase|annual_adoption_rate
cancellation-win-back,Cancellation Win Back,revenue,Intercepts cancellation flow with discount offer to save revenue,User clicks cancel subscription,System shows retention offer with discount,User stays subscribed instead of churning,"Intercept cancel action|Show retention offers|Provide easy acceptance|Track save rate",billing_system|modal_system|discount_engine|analytics,churn_save_rate|revenue_retention|ltv_preservation
audit-log-gate,Audit Log Gate,revenue,Blurs older audit log entries to tease enterprise-tier value,User views audit log page,System blurs entries beyond row limit,User considers enterprise upgrade for compliance,"Implement row-level permissions|Add blur effect|Show upgrade value|Track conversions",database_permissions|ui_effects|billing_system|analytics,enterprise_pipeline|compliance_value|upgrade_rate
compute-overage,Compute Overage,revenue,Sends warning email when compute usage approaches limit to prevent surprise charges,User reaches 80% of compute limit,System sends proactive warning email,User avoids surprise billing and churn,"Monitor resource usage|Send threshold warnings|Provide upgrade path|Track churn prevention",usage_metering|email_service|billing_system|analytics,billing_churn_reduction|upgrade_rate|trust_maintenance
tax-season-export,Tax Season Export,revenue,Prompts bulk invoice export during tax season to add value,End of fiscal quarter approaches,System suggests invoice export,User appreciates added value,"Detect fiscal periods|Integrate with billing|Offer bulk export|Track usage",date_detection|billing_api|export_system|analytics,nps|perceived_value|customer_satisfaction
sla-uptime-badge,SLA Uptime Badge,revenue,Displays SLA uptime metrics on status page to build enterprise trust,User views public status page,System shows uptime badge and SLA,Enterprise prospects increase inquiries,"Track uptime metrics|Display SLA prominently|Build trust signals|Track enterprise leads",uptime_monitoring|status_page|trust_badges|analytics,enterprise_lead_gen|trust_building|sales_pipeline
annual-flip,Annual Flip,revenue,Offers annual plan discount after three successful monthly payments,User completes 3rd monthly payment,System offers annual switch with bonus,Company improves cash flow and retention,"Track subscription tenure|Identify upgrade candidates|Offer incentives|Track conversions",billing_system|subscription_management|modal_system|analytics,annual_switch_rate|cash_flow_improvement|ltv_growth
bandwidth-hog-alert,Bandwidth Hog Alert,revenue,Warns users approaching bandwidth limits to prevent overage surprise,User reaches 80% of bandwidth quota,System shows bandwidth usage warning,User upgrades or optimizes before limit,"Monitor bandwidth usage|Show usage warnings|Offer upgrade path|Track expansion",usage_metering|banner_system|billing_system|analytics,expansion_revenue|upgrade_rate|overage_prevention
project-cap-hit,Project Cap Hit,revenue,Blocks project creation at plan limit to drive plan upgrades,User attempts to create project at limit,System blocks with upgrade modal,Power users upgrade for capacity,"Enforce project limits|Show upgrade value|Make upgrade easy|Track conversions",database|access_control|billing_system|modal_system,upgrade_rate|power_user_monetization|arpu_growth
export-limit-hit,Export Limit Hit,revenue,Blocks data exports at monthly limit to monetize data portability,User attempts export at monthly limit,System blocks with upgrade option,User upgrades for data access,"Track export usage|Enforce limits|Show upgrade benefits|Track conversions",usage_metering|access_control|billing_system|modal_system,upgrade_rate|data_monetization|arpu
support-priority-gate,Support Priority Gate,revenue,Shows premium support messaging on help pages for free users,Free user views help documentation,System displays priority support ad,User considers upgrade for better support,"Detect user plan|Show contextual messaging|Highlight support value|Track conversions",help_system|plan_detection|banner_system|analytics,support_upgrade_rate|service_tier_value|revenue_growth
sso-security-gate,SSO Security Gate,revenue,Blocks SSO configuration for non-enterprise users to drive upgrades,User attempts to configure SSO,System blocks with enterprise upgrade prompt,Organization upgrades for security compliance,"Restrict SSO to enterprise|Show security value|Make purchase easy|Track enterprise pipeline",sso_system|access_control|billing_system|sales_automation,enterprise_pipeline|security_monetization|expansion_revenue
trial-extension-ask,Trial Extension Ask,revenue,Offers short trial extension to users canceling during trial period,User attempts to cancel during trial,System offers 3 additional trial days,User converts after extended trial,"Intercept trial cancellation|Offer extension|Track conversion impact|Optimize timing",trial_system|modal_system|analytics|conversion_optimization,trial_save_rate|conversion_improvement|trial_effectiveness
